    Time         Eth-MAC-SRC       Eth-MAC-DST      OP       ARP-MAC-SRC     ARP-IP-SRC    ARP-MAC-DST     ARP-IP-DST
142.489936113 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 10.1.200.254
142.490524054 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
142.59188509 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 169.254.255.255
143.001739025 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 169.254.255.255
143.410459042 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 169.254.255.255
143.512853146 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
143.821086168 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 169.254.255.255
144.235510111 00:25:4b:2c:7f:05 ff:ff:ff:ff:ff:ff who-has 00:25:4b:2c:7f:05 10.1.200.139 00:00:00:00:00:00 10.1.200.254
147.58703208 a4:17:31:e2:e1:1b 00:1b:21:7f:6c:fc who-has a4:17:31:e2:e1:1b 10.1.200.174 00:00:00:00:00:00 10.1.200.254
147.590415001 00:1b:21:7f:6c:fc a4:17:31:e2:e1:1b is-at 00:1b:21:7f:6c:fc 10.1.200.254 a4:17:31:e2:e1:1b 10.1.200.174
148.223086119 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
149.248381138 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
150.274626017 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
151.19623208 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
152.012223005 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
152.933680058 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
159.180022001 00:18:e7:29:44:89 ff:ff:ff:ff:ff:ff who-has 00:18:e7:29:44:89 10.1.100.149 00:00:00:00:00:00 10.1.100.215
159.896846056 54:e6:fc:c7:5b:e5 ff:ff:ff:ff:ff:ff who-has 54:e6:fc:c7:5b:e5 10.1.200.184 00:00:00:00:00:00 10.1.200.184
161.536257029 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
161.842884064 00:1c:c0:f7:a9:d4 ff:ff:ff:ff:ff:ff who-has 00:1c:c0:f7:a9:d4 10.1.11.70 00:00:00:00:00:00 10.1.11.176
162.355857134 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
162.456467152 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
